filepath,file_size,num_sections,export_count,avg_entropy,label
C:\Windows\System32\cellulardatacapabilityhandler.dll,90112,8,4,2.057044145,0
C:\Windows\System32\cemapi.dll,282624,8,34,3.001136256,0
C:\Windows\System32\certca.dll,864256,8,179,3.337150027,0
C:\Windows\System32\certcli.dll,503808,8,172,3.647391592,0
C:\Windows\System32\certCredProvider.dll,73728,8,2,1.877105806,0
C:\Windows\System32\certenc.dll,98304,8,4,2.185291912,0
C:\Windows\System32\CertEnroll.dll,2908160,8,44,4.191604135,0
C:\Windows\System32\CertEnrollUI.dll,405504,7,1,4.213013625,0
C:\Windows\System32\certmgr.dll,2289664,7,5,4.250674942,0
C:\Windows\System32\CertPKICmdlet.dll,98304,8,14,1.9870516,0
C:\Windows\System32\CertPolEng.dll,204800,8,14,2.699263894,0
C:\Windows\System32\certprop.dll,233472,8,3,2.614385539,0
C:\Windows\System32\cewmdm.dll,286720,7,4,3.963422595,0
C:\Windows\System32\cfgbkend.dll,110592,8,8,2.273527171,0
C:\Windows\System32\cfgmgr32.dll,398168,8,283,2.589222323,0
C:\Windows\System32\CfgSPCellular.dll,163840,8,2,2.480485785,0
C:\Windows\System32\CfgSPPolicy.dll,155648,8,2,2.427627391,0
C:\Windows\System32\cflapi.dll,290816,8,21,2.564344885,0
C:\Windows\System32\cfmifs.dll,66976,7,4,2.057500566,0
C:\Windows\System32\cfmifsproxy.dll,36864,7,5,1.436128691,0
C:\Windows\System32\Chakra.dll,7938048,9,160,3.115981486,0
C:\Windows\System32\Chakradiag.dll,166912,9,6,3.288137976,0
C:\Windows\System32\Chakrathunk.dll,163840,7,8,2.924018862,0
C:\Windows\System32\chartv.dll,147456,8,8,2.920422354,0
C:\Windows\System32\ChatApis.dll,720896,8,3,3.090899445,0
C:\Windows\System32\ChsStrokeDS.dll,475136,8,2,3.226820185,0
C:\Windows\System32\ChtBopomofoDS.dll,475136,8,2,3.348594936,0
C:\Windows\System32\ChtCangjieDS.dll,479232,8,2,3.37343001,0
C:\Windows\System32\ChtHkStrokeDS.dll,475136,8,2,3.232453183,0
C:\Windows\System32\ChtQuickDS.dll,471040,8,2,3.227434298,0
C:\Windows\System32\ChxAPDS.dll,552960,8,2,3.44504438,0
C:\Windows\System32\ChxDecoder.dll,368640,8,2,3.177755837,0
C:\Windows\System32\ChxHAPDS.dll,524288,8,2,3.306582156,0
C:\Windows\System32\chxinputrouter.dll,393216,8,2,2.61668224,0
C:\Windows\System32\chxranker.dll,139264,8,2,2.49575183,0
C:\Windows\System32\CHxReadingStringIME.dll,36864,7,2,1.415409093,0
C:\Windows\System32\ci.dll,1084072,15,13,3.447534457,0
C:\Windows\System32\cic.dll,225280,8,4,3.405974933,0
C:\Windows\System32\cimfs.dll,378296,7,21,2.736249937,0
C:\Windows\System32\CIRCoInst.dll,36864,7,1,1.3274781,0
C:\Windows\System32\clbcatq.dll,687376,8,32,3.478534511,0
C:\Windows\System32\cldapi.dll,184320,8,51,2.165343988,0
C:\Windows\System32\CleanPCCSP.dll,90112,7,2,2.390457559,0
C:\Windows\System32\clfsw32.dll,110592,7,63,2.35031897,0
C:\Windows\System32\cliconfg.dll,118784,7,3,1.991189789,0
C:\Windows\System32\ClipboardServer.dll,225280,8,3,2.772139815,0
C:\Windows\System32\Clipc.dll,241136,8,24,2.387788056,0
C:\Windows\System32\ClipSVC.dll,1001408,8,2,3.49712793,0
C:\Windows\System32\clipwinrt.dll,1226168,9,3,2.781630674,0
C:\Windows\System32\cloudAP.dll,688128,8,2,2.751953383,0
C:\Windows\System32\CloudDesktopCSP.dll,241664,8,2,2.494917197,0
C:\Windows\System32\CloudDomainJoinAUG.dll,155648,8,3,2.262670923,0
C:\Windows\System32\CloudDomainJoinDataModelServer.dll,442368,8,3,3.056883175,0
C:\Windows\System32\CloudExperienceHost.dll,652728,8,3,3.306659285,0
C:\Windows\System32\CloudExperienceHostBroker.dll,349616,8,4,2.977020436,0
C:\Windows\System32\CloudExperienceHostCommon.dll,1349040,8,3,4.282239549,0
C:\Windows\System32\CloudExperienceHostRedirection.dll,208896,6,2,3.416232397,0
C:\Windows\System32\CloudExperienceHostUser.dll,275888,8,3,2.870742608,0
C:\Windows\System32\CloudIdWxhExtension.dll,321536,7,2,3.714032883,0
C:\Windows\System32\CloudRecoveryDownloadTool.dll,3127328,7,4,4.526000663,0
C:\Windows\System32\CloudRestoreLauncher.dll,1675264,8,5,3.919761306,0
C:\Windows\System32\clrhost.dll,40960,7,3,1.485721441,0
C:\Windows\System32\clusapi.dll,1290240,8,396,3.69512635,0
C:\Windows\System32\cmcfg32.dll,65536,7,4,1.919357709,0
C:\Windows\System32\cmdext.dll,69632,8,14,1.757203373,0
C:\Windows\System32\cmdial32.dll,569344,7,11,2.95436284,0
C:\Windows\System32\cmgrcspps.dll,81920,7,2,2.113664057,0
C:\Windows\System32\cmifw.dll,259528,8,4,2.547361877,0
C:\Windows\System32\cmintegrator.dll,73728,8,3,1.707988498,0
C:\Windows\System32\cmlua.dll,65536,7,10,2.109463057,0
C:\Windows\System32\cmpbk32.dll,53248,7,23,1.820442374,0
C:\Windows\System32\cmstplua.dll,40960,7,5,1.823897865,0
C:\Windows\System32\cmutil.dll,81920,7,151,2.104220407,0
C:\Windows\System32\cngcredui.dll,135168,8,2,1.543189987,0
C:\Windows\System32\cngprovider.dll,118784,7,4,2.692330459,0
C:\Windows\System32\cnvfat.dll,65536,7,2,1.819691972,0
C:\Windows\System32\CodeIntegrityAggregator.dll,217088,8,5,2.475605447,0
C:\Windows\System32\cofiredm.dll,57344,7,3,1.977108717,0
C:\Windows\System32\colbact.dll,110592,8,7,1.993745061,0
C:\Windows\System32\COLORCNV.DLL,249416,8,11,2.28018703,0
C:\Windows\System32\colorui.dll,192512,7,6,2.782846774,0
C:\Windows\System32\combase.dll,3703736,9,602,4.08853591,0
C:\Windows\System32\comcat.dll,32768,7,4,1.291469013,0
C:\Windows\System32\comctl32.dll,738744,7,181,3.336367689,0
C:\Windows\System32\comdlg32.dll,978944,8,30,3.423503701,0
C:\Windows\System32\coml2.dll,513832,8,33,2.642886091,0
C:\Windows\System32\CompatAggregator.dll,98304,6,5,2.711647342,0
C:\Windows\System32\ComposableShellProxyStub.dll,286720,8,3,1.945891928,0
C:\Windows\System32\ComposerFramework.dll,286720,8,3,2.90349525,0
C:\Windows\System32\CompPkgSup.dll,220504,8,14,2.284816753,0
C:\Windows\System32\compstui.dll,151552,8,4,2.279060214,0
C:\Windows\System32\computecore.dll,992688,8,67,3.506441879,0
C:\Windows\System32\computelibeventlog.dll,25904,2,0,1.549936346,0
C:\Windows\System32\computenetwork.dll,131072,7,56,2.418139157,0
C:\Windows\System32\computestorage.dll,492976,10,14,3.007458655,0
C:\Windows\System32\comrepl.dll,143360,8,4,2.273865898,0
C:\Windows\System32\comres.dll,12288,2,0,0.878110075,0
C:\Windows\System32\comsnap.dll,299008,7,5,4.096166023,0
C:\Windows\System32\comsvcs.dll,1695744,8,22,3.80564525,0
C:\Windows\System32\comuid.dll,802816,8,5,3.332926235,0
C:\Windows\System32\concrt140.dll,322640,6,291,4.975555371,0
C:\Windows\System32\configmanager2.dll,749568,8,4,3.496374983,0
C:\Windows\System32\ConfigureExpandedStorage.dll,114688,7,2,2.607929587,0
C:\Windows\System32\connect.dll,331776,8,15,3.525450805,0
C:\Windows\System32\ConnectedAccountState.dll,73728,8,3,2.024997104,0
C:\Windows\System32\ConnectionAttributionApi.dll,77824,7,2,2.06711694,0
C:\Windows\System32\ConsentExperienceCommon.dll,229376,8,2,2.629066767,0
C:\Windows\System32\ConsentUX.dll,148936,8,3,2.435574816,0
C:\Windows\System32\ConsentUxClient.dll,282624,8,4,2.98579483,0
C:\Windows\System32\console.dll,200704,8,3,2.710420915,0
C:\Windows\System32\ConsoleLogon.dll,380928,8,3,2.833792878,0
C:\Windows\System32\ConstraintIndex.Search.dll,1384448,8,16,3.812583737,0
C:\Windows\System32\ContactActivation.dll,131072,7,7,2.291095972,0
C:\Windows\System32\ContactApis.dll,1056768,8,3,2.974112272,0
C:\Windows\System32\ContactHarvesterDS.dll,262144,8,2,2.856517631,0
C:\Windows\System32\container.dll,331776,8,39,2.898214514,0
C:\Windows\System32\containerdevicemanagement.dll,271800,8,2,2.972541942,0
C:\Windows\System32\ContentDeliveryManager.Utilities.dll,1668520,8,3,3.311835422,0
C:\Windows\System32\ControlCenter.dll,3820032,7,3,4.380992844,0
C:\Windows\System32\ControlLib.dll,347920,7,121,4.058986338,0
C:\Windows\System32\coreaudiopolicymanagerext.dll,40960,7,35,1.318591189,0
C:\Windows\System32\coredpus.dll,274432,8,14,2.755211385,0
C:\Windows\System32\coreglobconfig.dll,228752,8,13,2.645023641,0
C:\Windows\System32\CoreMas.dll,270336,6,12,3.082032925,0
C:\Windows\System32\CoreMessaging.dll,1220432,8,31,3.676483922,0
C:\Windows\System32\CoreMmRes.dll,28672,2,0,2.881558899,0
C:\Windows\System32\CorePrivacySettingsStore.dll,203952,8,26,2.562059855,0
C:\Windows\System32\CoreShell.dll,2007040,8,3,3.43993911,0
C:\Windows\System32\CoreShellAPI.dll,561152,8,3,3.344821017,0
C:\Windows\System32\CoreShellExtFramework.dll,192512,8,3,2.37571723,0
C:\Windows\System32\CoreUIComponents.dll,3031968,7,24,4.188096589,0
C:\Windows\System32\correngine.dll,110592,8,4,2.368924412,0
C:\Windows\System32\CourtesyEngine.dll,311296,8,3,2.513418136,0
C:\Windows\System32\CPFilters.dll,512000,7,5,3.898933005,0
C:\Windows\System32\CredDialogBroker.dll,163840,8,3,2.490021533,0
C:\Windows\System32\CredentialEnrollmentManagerForUser.dll,113024,8,3,2.099706987,0
